page_url,writer,date,title,content
https://www.ndtv.com/latest/page-3,Agence France-Presse," Tuesday April 12, 2022",Meta Tests Letting Creators Sell Digital Goods In Virtual Reality,"Meta, the parent company of Facebook and Instagram, will give content creators the opportunity to sell virtual items to users in Horizon Worlds, its main platform in the metaverse, the company said Monday."
https://www.ndtv.com/latest/page-3,NDTV News Desk," Tuesday April 12, 2022",Fugitive Nirav Modi's Close Aide Brought To India From Cairo: CBI Sources,"Subhash Shankar Parab, a closeassociate of fugitive jeweller Nirav Modi, was deported from Egypt todayby the Central Bureau of Investigation (CBI), official sources said."
https://www.ndtv.com/latest/page-3,Reuters," Tuesday April 12, 2022","Ukraine Says Russia ""Forcibly Holding"" Many Civilians In Prisons","Ukraine's deputy prime minister on Monday accused Russia of holding civilians, including journalists, activists and elected officials, in prisons on Russian territory."
https://www.ndtv.com/latest/page-3,Kadambini Sharma," Tuesday April 12, 2022","""India Will Make Its Own Decisions, But..."": US After PM Modi-Biden Meet","Prime Minister Narendra Modi and US President Joe Biden had a ""candid exchange of views"" on Russia's war in Ukraine at a virtual summit on Monday, after which the US said ""India will make its own judgements"" on the crisis."
https://www.ndtv.com/latest/page-3,Pranita Chaubey," Tuesday April 12, 2022","Priyanka Chopra's Throwback Is About The ""Strong Maternal Figures"" In Her Life","""I'm so grateful for you all,"" wrote Priyanka Chopra"
https://www.ndtv.com/latest/page-3,Agence France-Presse," Tuesday April 12, 2022","Russia ""Repositioning, Refocusing"" On Ukraine's Donbas: US","Russian forces are reinforcing around the Donbas, notably near the town of Izyum, but have not yet launched an offensive to seize control of the disputed region of eastern Ukraine, Pentagon officials said Monday."
https://www.ndtv.com/latest/page-4,Agence France-Presse," Tuesday April 12, 2022","Russia ""Repositioning, Refocusing"" On Ukraine's Donbas: US","Russian forces are reinforcing around the Donbas, notably near the town of Izyum, but have not yet launched an offensive to seize control of the disputed region of eastern Ukraine, Pentagon officials said Monday."
https://www.ndtv.com/latest/page-4,NDTV Sports Desk," Tuesday April 12, 2022                                                        
                                                        ","IPL 2022 Points Table Update: Latest Orange Cap, Purple Cap Lists After SRH vs GT Match 21",IPL 2022: SunRisers Hyderabad are eighth in the IPL 2022 points table after two consecutive wins.
https://www.ndtv.com/latest/page-4,Press Trust of India," Tuesday April 12, 2022                                                        
                                                        ","Maharashtra: Summer Vacation For Students Of Classes 1 To 9, 11 From May 2 To June 12","The Maharashtra government has issued a circular, announcing summer vacation for students of Classes I to IX and XI from May 2 to June 12."
https://www.ndtv.com/latest/page-4,David Delima," Tuesday April 12, 2022                                                        
                                                        ","Oppo F21 Pro, F21 Pro 5G to Launch in India Today: How to Watch Livestream, Expected Price, Specifications","Oppo F21 Pro series is set to launch in India later today. The Oppo F21 Pro and Oppo F21 Pro 5G are tipped to sport 64-megapixel triple cameras and come with 4,500mAh batteries. The Oppo Enco Air 2 Pro are said to feature 12.4mm dynamic drivers and offer active noise cancellation and transparency mode support. Here’s how to watch the livestream of the Oppo F21 Pro series launch event online."
https://www.ndtv.com/latest/page-4,NDTVSports," Monday April 11, 2022                                                        
                                                        ","Sunrisers Hyderabad vs Gujarat Titans Live Score Ball by Ball, IPL 2022 Live Cricket Score Of Today's Match on NDTV Sports","Live Updates of Today Match between Sunrisers Hyderabad vs Gujarat Titans from Dr. DY Patil Sports Academy, Navi Mumbai. Check commentary and full scoreboard of the match."
https://www.ndtv.com/latest/page-4,Arnab Mitra," Monday April 11, 2022                                                        
                                                        ",IIM Shillong Inaugurates 10th Batch Of PG Programme For Executives,"Director IIM Shillong, Prof DP Goyal emphasised on the need to set a benchmark by the 10th batch for the years to come. “We produce managers with ethical and human values, wherein sustainability is our core focus”, Professor Goyal added"
